location,date,b3001,b3002,b3003,b3004,b3005,b3006
?,9-10-2020 7:34:58 PM,-74,-76,-200,-66,-200,-84
?,9-10-2020 7:34:59 PM,-76,-200,-200,-54,-96,-82
?,9-10-2020 7:35:00 PM,-78,-68,-69,-56,-200,-81
?,9-10-2020 7:35:01 PM,-74,-200,-200,-63,-84,-77
?,9-10-2020 7:35:02 PM,-73,-200,-69,-69,-97,-76
?,9-10-2020 7:35:03 PM,-79,-200,-200,-58,-200,-76
?,9-10-2020 7:35:04 PM,-77,-200,-200,-58,-90,-79
?,9-10-2020 7:35:05 PM,-72,-200,-75,-60,-95,-78
?,9-10-2020 7:35:06 PM,-68,-200,-75,-60,-83,-77
?,9-10-2020 7:35:07 PM,-73,-200,-200,-59,-97,-77
?,9-10-2020 7:35:08 PM,-73,-200,-200,-62,-84,-75
?,9-10-2020 7:35:09 PM,-74,-200,-200,-61,-84,-76
?,9-10-2020 7:35:10 PM,-75,-200,-61,-62,-200,-83
?,9-10-2020 7:35:11 PM,-74,-83,-60,-61,-91,-78
?,9-10-2020 7:35:12 PM,-66,-200,-74,-58,-200,-67
?,9-10-2020 7:35:13 PM,-67,-78,-200,-58,-200,-78
?,9-10-2020 7:35:14 PM,-71,-200,-53,-56,-79,-75
?,9-10-2020 7:35:15 PM,-64,-92,-72,-60,-200,-70
?,9-10-2020 7:35:16 PM,-63,-200,-76,-66,-91,-71
?,9-10-2020 7:35:17 PM,-60,-87,-200,-59,-200,-76
?,9-10-2020 7:35:18 PM,-64,-200,-200,-70,-94,-67
?,9-10-2020 7:35:19 PM,-65,-200,-58,-71,-86,-71
?,9-10-2020 7:35:20 PM,-72,-200,-58,-67,-85,-67
?,9-10-2020 7:35:21 PM,-67,-73,-200,-68,-93,-71
?,9-10-2020 7:35:22 PM,-73,-200,-200,-66,-200,-68
?,9-10-2020 7:35:23 PM,-78,-72,-32,-56,-200,-72
?,9-10-2020 7:35:24 PM,-72,-200,-32,-59,-200,-72
?,9-10-2020 7:35:25 PM,-66,-56,-47,-62,-77,-68
?,9-10-2020 7:35:26 PM,-73,-200,-200,-72,-87,-74
?,9-10-2020 7:35:27 PM,-70,-75,-200,-68,-83,-69
?,9-10-2020 7:35:28 PM,-67,-200,-50,-63,-77,-71
?,9-10-2020 7:35:29 PM,-71,-200,-64,-71,-80,-68
?,9-10-2020 7:35:30 PM,-74,-200,-49,-81,-82,-59
?,9-10-2020 7:35:31 PM,-79,-72,-200,-69,-75,-62
?,9-10-2020 7:35:32 PM,-74,-75,-200,-71,-79,-65
?,9-10-2020 7:35:33 PM,-81,-56,-48,-73,-83,-59
?,9-10-2020 7:35:34 PM,-87,-200,-48,-76,-81,-75
?,9-10-2020 7:35:35 PM,-77,-74,-68,-70,-83,-69
?,9-10-2020 7:35:36 PM,-77,-59,-200,-71,-75,-67
?,9-10-2020 7:35:37 PM,-84,-58,-200,-73,-79,-74
?,9-10-2020 7:35:38 PM,-78,-56,-50,-74,-83,-71
?,9-10-2020 7:35:39 PM,-77,-200,-200,-73,-75,-59
?,9-10-2020 7:35:40 PM,-75,-72,-200,-81,-81,-63
?,9-10-2020 7:35:41 PM,-76,-200,-200,-80,-75,-69
?,9-10-2020 7:35:42 PM,-85,-56,-64,-79,-74,-67
?,9-10-2020 7:35:43 PM,-84,-200,-66,-79,-74,-62
?,9-10-2020 7:35:44 PM,-75,-200,-67,-75,-77,-65
?,9-10-2020 7:35:45 PM,-74,-200,-67,-70,-72,-74
?,9-10-2020 7:35:46 PM,-76,-56,-200,-75,-78,-71
?,9-10-2020 7:35:47 PM,-82,-200,-66,-75,-84,-75
?,9-10-2020 7:35:48 PM,-77,-200,-62,-72,-82,-76
?,9-10-2020 7:35:49 PM,-77,-200,-63,-81,-91,-72
?,9-10-2020 7:35:50 PM,-89,-71,-200,-83,-83,-63
?,9-10-2020 7:35:51 PM,-81,-200,-200,-79,-75,-68
?,9-10-2020 7:35:52 PM,-72,-73,-62,-79,-77,-67
?,9-10-2020 7:35:53 PM,-79,-200,-65,-76,-83,-76
?,9-10-2020 7:35:54 PM,-79,-200,-70,-79,-83,-77
?,9-10-2020 7:35:55 PM,-73,-72,-200,-75,-79,-67
?,9-10-2020 7:35:56 PM,-70,-200,-66,-76,-81,-71
?,9-10-2020 7:35:57 PM,-71,-57,-65,-72,-84,-72
?,9-10-2020 7:35:58 PM,-79,-200,-66,-70,-85,-77
?,9-10-2020 7:35:59 PM,-74,-75,-200,-68,-76,-68
?,9-10-2020 7:36:00 PM,-76,-200,-200,-71,-86,-72
?,9-10-2020 7:36:01 PM,-77,-58,-200,-75,-76,-73
?,9-10-2020 7:36:02 PM,-73,-200,-66,-76,-79,-81
?,9-10-2020 7:36:03 PM,-74,-200,-67,-72,-70,-79
?,9-10-2020 7:36:04 PM,-85,-200,-200,-74,-83,-69
?,9-10-2020 7:36:05 PM,-80,-72,-200,-77,-78,-73
?,9-10-2020 7:36:06 PM,-80,-200,-65,-69,-82,-67
?,9-10-2020 7:36:07 PM,-81,-62,-65,-68,-92,-58
?,9-10-2020 7:36:08 PM,-77,-200,-65,-78,-84,-71
?,9-10-2020 7:36:09 PM,-69,-76,-200,-75,-78,-64
?,9-10-2020 7:36:10 PM,-74,-200,-200,-78,-82,-67
?,9-10-2020 7:36:11 PM,-80,-68,-200,-73,-88,-64
?,9-10-2020 7:36:12 PM,-75,-200,-63,-75,-83,-67
?,9-10-2020 7:36:13 PM,-75,-80,-64,-84,-82,-59
?,9-10-2020 7:36:14 PM,-85,-200,-200,-74,-83,-64
?,9-10-2020 7:36:15 PM,-78,-62,-200,-74,-75,-65
?,9-10-2020 7:36:16 PM,-84,-83,-49,-75,-75,-68
?,9-10-2020 7:36:17 PM,-77,-200,-74,-80,-69,-67
?,9-10-2020 7:36:18 PM,-76,-200,-55,-78,-70,-71
?,9-10-2020 7:36:19 PM,-85,-62,-200,-71,-71,-63
